time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3, 135.000000, 0, 405, 0, 0, 405
1, 0, NaN, NaN, NaN, NaN, NaN, NaN
2, 0, NaN, NaN, NaN, NaN, NaN, NaN
3, 3, 1215.333333, 0, 3639, 0, 7, 3639
4, 4788, 0.137427, 0, 79, 0, 0, 0
5, 7996, 0.064032, 0, 65, 0, 0, 0
6, 671, 1.438152, 0, 195, 0, 0, 0
7, 815, 1.115337, 0, 319, 0, 0, 0
8, 997, 0.770311, 0, 298, 0, 0, 0
9, 808, 1.283416, 0, 237, 0, 0, 0
10, 1063, 0.841957, 0, 179, 0, 0, 0
11, 6706, 0.062481, 0, 26, 0, 0, 0
12, 6390, 0.074178, 0, 78, 0, 0, 0
13, 141, 7.141844, 0, 729, 0, 0, 0
14, 710, 1.114085, 0, 223, 0, 0, 0
15, 615, 1.395122, 0, 213, 0, 0, 0
16, 3, 105.666667, 0, 316, 0, 1, 316
17, 0, NaN, NaN, NaN, NaN, NaN, NaN
18, 0, NaN, NaN, NaN, NaN, NaN, NaN
19, 0, NaN, NaN, NaN, NaN, NaN, NaN
20, 0, NaN, NaN, NaN, NaN, NaN, NaN
21, 13, 449.000000, 0, 5835, 0, 0, 0
22, 6274, 0.082722, 0, 67, 0, 0, 0
23, 9527, 0.034848, 0, 47, 0, 0, 0
24, 4743, 0.134514, 0, 120, 0, 0, 0
25, 444, 0.898649, 0, 81, 0, 0, 0
26, 779, 1.908858, 0, 710, 0, 0, 0
27, 682, 1.324047, 0, 328, 0, 0, 0
28, 860, 1.083721, 0, 211, 0, 0, 0
29, 917, 0.928026, 0, 354, 0, 0, 0
30, 613, 1.608483, 0, 360, 0, 0, 0
31, 59, 9.966102, 0, 519, 0, 0, 0
32, 0, NaN, NaN, NaN, NaN, NaN, NaN
33, 0, NaN, NaN, NaN, NaN, NaN, NaN
34, 0, NaN, NaN, NaN, NaN, NaN, NaN
35, 4429, 0.904945, 0, 3648, 0, 0, 0
36, 7725, 0.053074, 0, 72, 0, 0, 0
37, 6150, 0.076098, 0, 51, 0, 0, 0
38, 1500, 0.569333, 0, 97, 0, 0, 0
39, 674, 1.216617, 0, 125, 0, 0, 0
40, 1182, 0.781726, 0, 153, 0, 0, 0
41, 818, 1.111247, 0, 314, 0, 0, 0
42, 899, 0.914349, 0, 375, 0, 0, 0
43, 1151, 0.844483, 0, 240, 0, 0, 0
44, 1085, 0.673733, 0, 289, 0, 0, 0
45, 3, 137.000000, 0, 406, 0, 5, 406
46, 0, NaN, NaN, NaN, NaN, NaN, NaN
47, 0, NaN, NaN, NaN, NaN, NaN, NaN
48, 0, NaN, NaN, NaN, NaN, NaN, NaN
49, 0, NaN, NaN, NaN, NaN, NaN, NaN
50, 0, NaN, NaN, NaN, NaN, NaN, NaN
51, 0, NaN, NaN, NaN, NaN, NaN, NaN
52, 0, NaN, NaN, NaN, NaN, NaN, NaN
53, 0, NaN, NaN, NaN, NaN, NaN, NaN
54, 2273, 4.117906, 0, 9046, 0, 0, 0
55, 6980, 0.054155, 0, 56, 0, 0, 0
56, 6635, 0.067219, 0, 55, 0, 0, 0
57, 4888, 0.126841, 0, 83, 0, 0, 0
58, 2547, 0.323125, 0, 66, 0, 0, 0
59, 5568, 0.114583, 0, 225, 0, 0, 0
